l1,l2,l3,sum_loss,epoch,step
0.033368971198797226,3.031332015991211,2.5805914402008057,5.645292282104492,0,49
0.021956397220492363,2.651872396469116,2.3351075649261475,5.008936405181885,0,99
0.022065535187721252,2.0940356254577637,1.7708659172058105,3.886967182159424,0,149
0.017273390665650368,2.0074944496154785,1.5504318475723267,3.575199604034424,0,199
0.018116561695933342,1.9913579225540161,1.4990644454956055,3.5085389614105225,0,249
0.01290030125528574,1.9680819511413574,1.5404701232910156,3.5214524269104004,0,299
0.013304649852216244,1.961043357849121,1.4903106689453125,3.464658737182617,0,349
0.013157129287719727,1.964926838874817,1.5424262285232544,3.520510196685791,0,399
0.013946153223514557,1.9487031698226929,1.562812328338623,3.5254616737365723,0,449
0.013563421554863453,1.9602128267288208,1.501721978187561,3.4754981994628906,0,499
0.014706266112625599,1.9544812440872192,1.492384910583496,3.4615724086761475,0,549
0.010204554535448551,1.9530330896377563,1.4587984085083008,3.4220361709594727,0,599
